name;description;ingredients;is_sugar;is_cream_base;is_calzone;is_alcohol;is_meat
Pizza Farmer;"Une recette campagnarde pour une pizza riche et savoureuse.";"Ail, Sauce tomate, Persil, Blanc de poulet, Parmesan, Champignons de Paris, Huile d'olive, Brocoli, Sel & poivre";False; False; False; False; True
Pizza Olivade;"«L'olivade» désigne la période de cueillette de l'olive généralement située au mois de novembre.";"Blancs de poulet, Pancetta, Mozzarella, Olives noires, Tomates, Tomate, Paprika, Herbes de Provence, Huile d'olive";False; False; False; False; True
Pizza Carbonara;"Un classique de la gastronomie italienne adapté à la pizza...";"Origan, Lardons, Fromage râpé, Jambon blanc, Huile d'olive, Œufs, Sel & Poivre, Crème fraîche";False; True; False; False; True
Pizza Africaine;"Une garniture originale pour une recette très exotique.";"Escalopes de poulet, Bananes, Oignon, Lait de coco, Cacahuètes, Fromage râpé, Coriandre, Poivron rouge, Pâte de curry, Sel & poivre";False; False; False; False; True
Pizza Petite Fermière;"Le mariage osée du lard et du fromage de chèvre sur une pizza parfumée au miel.";"Crème fraîche, Lardons fumés, Miel liquide, Fromage de chèvre";True; True; False; False; True
Pizza berbère;"Cette recette est spécialement dédiée aux amateurs de poulet. Le goût épicé fait toute l'authenticité de cette pizza";"Sauce tomate, Poulet, Poivron vert, Mozzarella, Huile d'olive, Oignon, Ail, Gruyère, Piment rouge, Poivre, Herbes séchées";False; False; False; False; True
Pizza ensoleillée;"Une recette de pizza sucrée-salée pleine de saveurs et délicatement parfumée au curry.";"Oignon, Mozzarella, Ananas, Escalope de dinde, Amandes, Raisins secs, Miel, Crème fraîche, Curry";True; True; False; False; True
Pizza du Verger;"L'étonnante rencontre de la pizza et des poires...";"Lardons, Poires, Parmesan, Romarin, Huile d'olive, Sel & poivre";True; False; False; False; True
Pizza des prairies;"Une recette de pizza typiquement campagne avec son magret de canard,  son fromage de chèvre et ses pousses d'épinard. Sortie du terroir, elle offre des saveurs prononcées, pour un repas sous le signe du naturel.";"Magret de canard fumé, Fromage de chèvre, Pousses d'épinard, Raisins de Corinthe, Miel liquide, Crème fraîche, Vinaigre balsamique";True; True; False; False; True
Pizza Délice d'Automne;"Une délicieuse manière de combiner les saveurs de la pomme et du bacon sur une pâte à pizza !";"Pomme Granny Smith, Bacon, Oignon, Mozzarella, Parmesan, Sauge, Romarin, Oignons nouveaux, Huile d'olive, Vin blanc, Beurre";False; False; False; True; True
Pizza d'Automne;"Recette proposée par Guy.";"Sauce tomate, Morilles, Ris de veau, Mozzarella, Basilic, Ail, Huile d'olive, Crème fraîche, Sel & poivre";False; False; False; False; True
Pizza Chipo;"Une recette qui sent bon la campagne française le barbecue du dimanche, les déjeuners d'été. La saucisse est subtilement glissée dans la pâte et se marie délicieusement avec l'aubergine et la tomate.";"Chipolatas, Tomates, Aubergine, Gruyère râpé, Thym, Huile d'olive, Sel & poivre";False; False; False; False; True
Pizza Campagnarde;"Rustique et forte en saveurs";" cette pizza se déguste avec une belle salade bien assaisonnée., Pruneaux, Fromage de chèvre, Crème fraîche, Lard fumé, Huile d'olive, Poivre";True; True; False; False; True
Pizza Brunch;"Comme son nom l'indique cette pizza est parfaite pour un repas matinal.";"Pâte au lait, Bacon, Bananes, Ricotta, Beurre";True; False; False; False; True
Pizza Broccolini;"Pour amateurs de légumes verts de jambon cru et de fromage au goût prononcé";"Sauce tomate, Brocoli, Prosciutto, Gorgonzola, Huile d'olive";False; False; False False; True
Pizza Bougar;"Même s'il s'agit d'une grande découverte pour vos papilles le mariage entre le jambon et les pommes vous régalera. Un mélange salé,  sucré et acidulé sur votre pâte à pizza !";"Pomme, Jambon, Crème fraîche, Oignons rouges, Thym, Gruyère, Huile d'olive, Sel,  poivre";False; True; False; False; True
Pizza Boudinot;"Une recette rustique et savoureuse";" typique de nos campagnes. Le mariage réussi du boudin et de la pomme trouve son écho dans cette pizza très originale., Boudin noir, Pommes, Oignons, Miel, Beurre, Poivre, Mozzarella, Sauce tomate";True; False; False; False; True
Pizza Bolognaise;"En Italie la sauce bolognaise porte également le nom de «ragu»,  déformation du français «ragoût»...";"Steak haché, Carottes, Céleri, Champignons, Tomates, Oignon, Ail, Noix de muscade, Vin blanc, Fromage râpé, Tomate, Huile d'olive, Sel & poivre";False; False; False; True; True
Pizza Bollywood;"Quand les saveurs de l'Inde rencontrent celles de l'Italie...";"Mozzarella, Tomates, Curry, Blanc de poulet, Cumin, Oignon, Huile d'olive, Courgette, Sel & poivre";False; False; False; False; True
Pizza Barbecue;"Une pizza riche en charcuterie délicieusement rustique. Les saucisses et l'andouillette donnent beaucoup de saveurs à cette recette originale,  à savourer les pieds dans l'herbe,  par une belle journée.";"Sauce barbecue, Merguez, Chipolatas, Andouillettes, Herbes de Provence, Olives, Fromage râpé";False; False; False; False; True
Pizza Aztek;"De la chair à saucisse pimentée du maïs,  du piment vert,  de la mozzarella et des tomates,  cette recette de pizza à la mexicaine vous plaira sûrement !";"Tomates, Maïs, Mozzarella, Chair à saucisse, Tomates, Échalote, Basilic, Piment, Piment vert";False; False; False; False; True
Pizza aux épinards;"Recette proposée par Sara.";"Ricotta, Épinards, Pignons de pin, Chorizo";False; False; False; False; True
Pizza aux Artichauts;"La délicieuse alliance de la tomate confite et des artichauts. Les végétariens se régaleront avec cette pizza !";"Mozzarella, Tomates, Origan, Tomates confites, Basilic, Cœurs d'artichauts, Romarin, Olives noires, Huile d'olive";False; False; False; False; False
Pizza au saucisson;"Une recette très rapide à préparer avec des produits faciles à trouver.";"Pâte a pizza, Tomates pelées, Saucisson, Champignons de Paris, Gruyère, Herbes de Provence";False; False; False; False; True
Pizza au Chorizo;"Une recette dont le degré d'explosion en bouche dépend de la qualité et de la force du chorizo utilisé.";"Sauce tomate, Chorizo, Poivron vert, Olives noires, Origan, Mozzarella, Huile d'olive, Œuf";False; False; False; False; True
Pizza au bacon;"La simplicité du bacon sur une base tomate et mozzarella.";"Bacon, Echalotes, Mozzarella, Sauce tomate, Huile d'olive";False; False; False; False; True
Pizza Andrelini;"Cette pizza classique est généreusement garnie de fromage de chèvre fondu. Le fromage râpé par-dessus en fait une recette à réserver aux amateurs de pizza au fromage.";"Sauce tomate, Fromage râpé, Oignons rouges, Poivron vert, Jambon de Parme, Fromage de chèvre, Huile d'olive";False; False; False; False; True
Pizza Américaine;"Cette pizza à la façon américaine peut être préparée de forme carrée pour rester dans l'ambiance des pizzérias New-Yorkaises.";"Oignon, Sauce Tomate, Parmesan, Salami, Huile d'olive";False; False; False; False; True
Pizza Alpine;"Rien n'est plus délicieux qu'une pizza faite avec des bons produits : garnissez celle-ci de salami et de gruyère pour des saveurs alpines assurées !";"Crème fraîche, Gruyère râpé, Oignons rouges, Salami, Marjolaine";False; True; False; False; True
Pizza Air d'Italie;"Rien ne vaut une bonne pizza fait-maison encore plus si celle-ci a un air d'Italie avec ses délicieux ingrédients dont la saucisse italienne et les champignons";"Saucisse italienne forte, Oignons, Champignons, Poivrons verts et rouges, Sauce tomate, Mozzarella, Huile d'olive";False; False; False; False; True
Pizza à la Ricotta;"Une recette simple qui fait la part belle au jambon cru et à la ricotta ce fromage frais italien, produit soit à partir du lait de brebis, soit à partir du lait de bufflonne.";"Riccota, Jambon de Parme, Œufs, Parmesan, Basilic, Oignons, Olives noires, Huile d'olive, Sel & poivre";False; False; False; False; True
Pizza 4 Saisons;"La fameuse recette de la pizza Quatre saisons généralement présentées en 4 quartiers différemment garnis.";"Jambon de Parme, Champignons, Artichauts marinés, Olives noires, Sauce Tomate, Ail, Mozzarella, Persil, Huile d'olive, Sel & poivre";False; False; False; False; True
Fausse Pizza;"Une recette de la cuisinière anglaise Nigella Lawson pour ceux qui n'ont vraiment pas le temps de faire monter la pâte !";"Œuf, Lait, Fromage râpé, Jambon, Tomate, Huile d'olive, Beurre, Sel & poivre";False; False; False; False; True
Calzone Rustico;"Une version rustique de la célèbre pizza calzone avec de la charcuterie et des pommes de terre. Riche et copieuse,  cette pizza repliée libère tous ses arômes au premier coup de fourchette.";"Salami, Mozzarella, Oignon, Parmesan, Huile d'olive, Pommes de terre";False; False; True; False; True
Calzone au Prosciutto;"Une délicieuse recette à base de Prosciutto ce jambon italien à la fine saveur fumée,  produit dans les collines qui bordent la ville de Parme.";"Prosciutto, Mozzarella, Artichauts marinés à l'huile, Origan, Huile d'olive, Sel & poivre";False; False; True; False; True
Pizza Wuik;"Envie d'une bonne pizza dès le matin ? Cette recette est un véritable délice matinal pour un brunch original.";"Saucisses de porc, Œufs, Ricotta, Oignons rouges, Tomates, Poivrons rouges et verts, Mozzarella";False; False; False; False; True
Pizza Savoyarde;"Une vraie pizza d'hiver avec sa charcuterie et son fromage à raclette. Riche et savoureuse, elle réchauffe le Cœur et l'estomac.";"Jambon blanc, Salami, Fromage à raclette, Crème fraîche, Oignons au vinaigre";False; True; False; False; True
Pizza Polask;"La cuisine polonaise à l'honneur avec cette recette de pizza au porc haché agrémentée de chou vert et de gruyère.";"Viande de porc hachée, Chou vert, Gruyère, Oignons, Huile d'olive";False; False; False; False; True
Pizza Piccante;"Une autre façon de préparer une pizza au pepperoni avec un fond de dés de légumes et des oignons attendris. Le tout parsemé de mozzarella râpée.";"Pepperoni, Oignons, Sauce tomate, Poivrons verts, Tomates, Mozzarella, Origan, Huile d'olive";False; False; False; False; True
Pizza paysanne;"Une délicieuse recette aux herbes au poulet et aux légumes grillés.";"Blanc de poulet, Poivron jaune, Oignons rouges, Tomates, Basilic, Ail, Romarin, Olives noires, Fromage de chèvre, Sauce Pesto, Huile d'olive, Vinaigre balsamique";False; False; False; False; True
Pizza Regina;"Une variante de la célèbre Napolitaine.";"Tomates, Champignons blancs, Jambon blanc, Origan, Olives noires, Huile d'olive, Poivre";False; False; False; False; True
Pizza Manhattan;"La recette typique de New-York au bœuf haché.";"Sauce tomate, Bœuf haché, Tomates, Poivron jaune, Gruyère râpé, Oignons, Crème fraîche, Cognac, Persil, Beurre, Huile d'olive";False; True; False; True; True
Pizza Istanbul;"Partez en Turquie avec cette pizza exotique au bœuf aromatisé à la menthe.";"Bœuf haché, Oignons blancs, Oignons rouges, Ail, Menthe, Sauce tomate, Laitue, Tomate, Persil, Citron, Piment de Cayenne, Huile d'olive, Sel & poivre";False; False; False; False; True
Pizza Landaise;"Toutes les saveurs du Sud-Ouest sur cette pizza riche et savoureuse.";"Fromage râpé, Crème fraîche, Asperges, Gésiers de volaille, Huile d'olive, Magret de canard fumé, Sel & poivre";False; True; False; False; True
Pizza Méditerranée;"Une recette de pizza aux accents du Sud à base de poulet et de légumes du soleil.";"Sauce Pesto, Herbes de Provence, Blanc de poulet, Poivron jaune, Oignons rouges, Tomates, Fromage de chèvre, Olives noires, Romarin, Basilic, Ail, Vinaigre balsamique, Huile d'olive";False; False; False; False; True
Pizza Mexicana;"Laissez-vous surprendre par le croquant du maïs et la saveur épicée.";"Sauce tomate, Steak haché, Poivron vert, Maïs, Huile d'olive, Oignon, Fromage râpé, Tabasco, Poivre";False; False; False; False; True
Pizza Madrilène;"Une recette aux saveurs espagnoles pour un repas ensoleillé.";"Jambon Serrano, Chorizo, Mozzarella, Champignons blancs, Sauce Tomate, Huile d'olive";False; False; False; False; True
Pizza Hawaïenne;"La fameuse déclinaison végétarienne de la pizza avec l'ingrédient typique : l'ananas.";"Sauce tomate, Ananas, Fromage râpé, Olives noires, Origan, Huile d'olive";True; False; False; False; False
Pizza Florentine;"Une pizza végétarienne très simple à préparer à base de feuilles d'épinards. À faire découvrir à vos enfants !";"Bacon, Épinards, Sauce tomate, Mozzarella, Œuf, Tomates raisins";False; False; False; False; False
Pizza Tyrolienne;"Cette recette de pizza assez typique joue la carte du sucré-salé. La saucisse se marie aux pommes le tout relevé de moutarde à l'ancienne.";"Saucisse italienne, Pommes Golden, Moutarde, Beurre, Huile d'olive";True; False; False; False; True